3dostr          3DO STR
framecrc        framecrc testing
framehash       Per-frame hash testing
framemd5        Per-frame MD5 testing
frm             Megalux Frame
fsb             FMOD Sample Bank
fwse            Capcom's MT Framework sound
g722            raw G.722
g723_1          raw G.723.1
g726            raw big-endian G.726 ("left-justified")
g726le          raw little-endian G.726 ("right-justified")
g729            G.729 raw format demuxer
gdv             Gremlin Digital Video
gem_pipe        piped gem sequence
genh            GENeric Header
gif             CompuServe Graphics Interchange Format (GIF)
gif_pipe        piped gif sequence
gsm             raw GSM
gxf             GXF (General eXchange Format)
h261            raw H.261
h263            raw H.263
h264            raw H.264 video
hash            Hash testing
hca             CRI HCA
hcom            Macintosh HCOM
hdr_pipe        piped hdr sequence
hds             HDS Muxer
hevc            raw HEVC video
hls             Apple HTTP Live Streaming
hnm             Cryo HNM v4
ico             Microsoft Windows ICO
idcin           id Cinematic
idf             iCE Draw File
iff             IFF (Interchange File Format)
ifv             IFV CCTV DVR
ilbc            iLBC storage
image2          image2 sequence
image2pipe      piped image2 sequence
imf             IMF (Interoperable Master Format)
ingenient       raw Ingenient MJPEG
ipmovie         Interplay MVE
ipod            iPod H.264 MP4 (MPEG-4 Part 14)
ipu             raw IPU Video
ircam           Berkeley/IRCAM/CARL Sound Format
ismv            ISMV/ISMA (Smooth Streaming)
iss             Funcom ISS
iv8             IndigoVision 8000 video
ivf             On2 IVF
ivr             IVR (Internet Video Recording)
j2k_pipe        piped j2k sequence
jack            JACK Audio Connection Kit
jacosub         JACOsub subtitle format
jpeg_pipe       piped jpeg sequence
jpegls_pipe     piped jpegls sequence
jpegxl_pipe     piped jpegxl sequence
jv              Bitmap Brothers JV
kmsgrab         KMS screen capture
kux             KUX (YouKu)
kvag            Simon & Schuster Interactive VAG
laf             LAF (Limitless Audio Format)
latm            LOAS/LATM
lavfi           Libavfilter virtual input device
libcdio          
libmodplug      ModPlug demuxer
libopenmpt      Tracker formats (libopenmpt)
live_flv        live RTMP FLV (Flash Video)
lmlm4           raw lmlm4
loas            LOAS AudioSyncStream
lrc             LRC lyrics
luodat          Video CCTV DAT
lvf             LVF
lxf             VR native stream (LXF)
m4v             raw MPEG-4 video
matroska        Matroska
matroska,webm   Matroska / WebM
mca             MCA Audio Format
mcc             MacCaption
md5             MD5 testing
mgsts           Metal Gear Solid: The Twin Snakes
microdvd        MicroDVD subtitle format
mjpeg           raw MJPEG video
mjpeg_2000      raw MJPEG 2000 video
mkvtimestamp_v2 extract pts as timecode v2 format, as defined by mkvtoolnix
mlp             raw MLP
mlv             Magic Lantern Video (MLV)
mm              American Laser Games MM
mmf             Yamaha SMAF
mods            MobiClip MODS
moflex          MobiClip MOFLEX
mov             QuickTime / MOV
mov,mp4,m4a,3gp,3g2,mj2 QuickTime / MOV
mp2             MP2 (MPEG audio layer 2)
mp3             MP3 (MPEG audio layer 3)
mp4             MP4 (MPEG-4 Part 14)
mpc             Musepack
mpc8            Musepack SV8
mpeg            MPEG-1 Systems / MPEG program stream
mpeg1video      raw MPEG-1 video
mpeg2video      raw MPEG-2 video
mpegts          MPEG-TS (MPEG-2 Transport Stream)
mpegtsraw       raw MPEG-TS (MPEG-2 Transport Stream)
mpegvideo       raw MPEG video
mpjpeg          MIME multipart JPEG
mpl2            MPL2 subtitles
mpsub           MPlayer subtitles
msf             Sony PS3 MSF
msnwctcp        MSN TCP Webcam stream
msp             Microsoft Paint (MSP))
mtaf            Konami PS2 MTAF
mtv             MTV
mulaw           PCM mu-law
musx            Eurocom MUSX
mv              Silicon Graphics Movie
mvi             Motion Pixels MVI
mxf             MXF (Material eXchange Format)
mxf_d10         MXF (Material eXchange Format) D-10 Mapping
mxf_opatom      MXF (Material eXchange Format) Operational Pattern Atom
mxg             MxPEG clip
nc              NC camera feed
nistsphere      NIST SPeech HEader REsources
nsp             Computerized Speech Lab NSP
nsv             Nullsoft Streaming Video
null            raw null video
nut             NUT
nuv             NuppelVideo
obu             AV1 low overhead OBU
oga             Ogg Audio
ogg             Ogg
ogv             Ogg Video
oma             Sony OpenMG audio
openal          OpenAL audio capture device
opengl          OpenGL output
opus            Ogg Opus
oss             OSS (Open Sound System) playback
paf             Amazing Studio Packed Animation File
pam_pipe        piped pam sequence
pbm_pipe        piped pbm sequence
pcx_pipe        piped pcx sequence
pfm_pipe        piped pfm sequence
pgm_pipe        piped pgm sequence
pgmyuv_pipe     piped pgmyuv sequence
pgx_pipe        piped pgx sequence
phm_pipe        piped phm sequence
photocd_pipe    piped photocd sequence
pictor_pipe     piped pictor sequence
pjs             PJS (Phoenix Japanimation Society) subtitles
pmp             Playstation Portable PMP
png_pipe        piped png sequence
pp_bnk          Pro Pinball Series Soundbank
ppm_pipe        piped ppm sequence
psd_pipe        piped psd sequence
psp             PSP MP4 (MPEG-4 Part 14)
psxstr          Sony Playstation STR
pulse           Pulse audio output
pva             TechnoTrend PVA
pvf             PVF (Portable Voice Format)
qcp             QCP
qdraw_pipe      piped qdraw sequence
qoi_pipe        piped qoi sequence
r3d             REDCODE R3D
rawvideo        raw video
realtext        RealText subtitle format
redspark        RedSpark
rka             RKA (RK Audio)
rl2             RL2
rm              RealMedia
roq             raw id RoQ
rpl             RPL / ARMovie
rsd             GameCube RSD
rso             Lego Mindstorms RSO
rtp             RTP output
rtp_mpegts      RTP/mpegts output format
rtsp            RTSP output
s16be           PCM signed 16-bit big-endian
s16le           PCM signed 16-bit little-endian
s24be           PCM signed 24-bit big-endian
s24le           PCM signed 24-bit little-endian
s32be           PCM signed 32-bit big-endian
s32le           PCM signed 32-bit little-endian
s337m           SMPTE 337M
s8              PCM signed 8-bit
sami            SAMI subtitle format
sap             SAP output
sbc             raw SBC
sbg             SBaGen binaural beats script
scc             Scenarist Closed Captions
scd             Square Enix SCD
sdl,sdl2        SDL2 output device
sdns            Xbox SDNS
sdp             SDP
sdr2            SDR2
sds             MIDI Sample Dump Standard
sdx             Sample Dump eXchange
segment         segment
ser             SER (Simple uncompressed video format for astronomical capturing)
sga             Digital Pictures SGA
sgi_pipe        piped sgi sequence
shn             raw Shorten
siff            Beam Software SIFF
simbiosis_imx   Simbiosis Interactive IMX
sln             Asterisk raw pcm
smjpeg          Loki SDL MJPEG
smk             Smacker
smoothstreaming Smooth Streaming Muxer
smush           LucasArts Smush
sol             Sierra SOL
sox             SoX native
spdif           IEC 61937 (used on S/PDIF - IEC958)
spx             Ogg Speex
srt             SubRip subtitle
stl             Spruce subtitle format
stream_segment,ssegment streaming segment muxer
streamhash      Per-stream hash testing
subviewer       SubViewer subtitle format
subviewer1      SubViewer v1 subtitle format
sunrast_pipe    piped sunrast sequence
sup             raw HDMV Presentation Graphic Stream subtitles
svag            Konami PS2 SVAG
svcd            MPEG-2 PS (SVCD)
svg_pipe        piped svg sequence
svs             Square SVS
swf             SWF (ShockWave Flash)
tak             raw TAK
tedcaptions     TED Talks captions
tee             Multiple muxer tee
thp             THP
tiertexseq      Tiertex Limited SEQ
tiff_pipe       piped tiff sequence
tmv             8088flex TMV
truehd          raw TrueHD
tta             TTA (True Audio)
ttml            TTML subtitle
tty             Tele-typewriter
txd             Renderware TeXture Dictionary
ty              TiVo TY Stream
u16be           PCM unsigned 16-bit big-endian
u16le           PCM unsigned 16-bit little-endian
u24be           PCM unsigned 24-bit big-endian
u24le           PCM unsigned 24-bit little-endian
u32be           PCM unsigned 32-bit big-endian
u32le           PCM unsigned 32-bit little-endian
u8              PCM unsigned 8-bit
uncodedframecrc uncoded framecrc testing
v210            Uncompressed 4:2:2 10-bit
v210x           Uncompressed 4:2:2 10-bit
vag             Sony PS2 VAG
vapoursynth     VapourSynth demuxer
vbn_pipe        piped vbn sequence
vc1             raw VC-1 video
vc1test         VC-1 test bitstream
vcd             MPEG-1 Systems / MPEG program stream (VCD)
vidc            PCM Archimedes VIDC
video4linux2,v4l2 Video4Linux2 output device
vividas         Vividas VIV
vivo            Vivo
vmd             Sierra VMD
vob             MPEG-2 PS (VOB)
vobsub          VobSub subtitle format
voc             Creative Voice
vpk             Sony PS2 VPK
vplayer         VPlayer subtitles
vqf             Nippon Telegraph and Telephone Corporation (NTT) TwinVQ
w64             Sony Wave64
wady            Marble WADY
wav             WAV / WAVE (Waveform Audio)
wavarc          Waveform Archiver
wc3movie        Wing Commander III movie
webm            WebM
webm_chunk      WebM Chunk Muxer
webm_dash_manifest WebM DASH Manifest
webp            WebP
webp_pipe       piped webp sequence
webvtt          WebVTT subtitle
wsaud           Westwood Studios audio
wsd             Wideband Single-bit Data (WSD)
wsvqa           Westwood Studios VQA
wtv             Windows Television (WTV)
wv              raw WavPack
wve             Psion 3 audio
x11grab         X11 screen capture, using XCB
xa              Maxis XA
xbin            eXtended BINary text (XBIN)
xbm_pipe        piped xbm sequence
xmd             Konami XMD
xmv             Microsoft XMV
xpm_pipe        piped xpm sequence
xvag            Sony PS3 XVAG
xwd_pipe        piped xwd sequence
xwma            Microsoft xWMA
yop             Psygnosis YOP
yuv4mpegpipe    YUV4MPEG pipe
